epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.842,1.01122,2.7612,1.17926,0.0034,0.98077,0.56629,0.36475,0.91922,3.27401,1.32096,0.00048,0.00048,0.00048
2,526.641,1.10154,2.19448,1.24479,0.85897,0.26923,0.52639,0.3101,1.24165,3.27723,1.77998,0.000960596,0.000960596,0.000960596
3,788.099,1.25584,2.31693,1.32994,0.43594,0.53846,0.36513,0.18832,1.49666,3.19609,1.96815,0.00142139,0.00142139,0.00142139
4,1042.96,1.32653,2.27433,1.41813,0.35499,0.13462,0.11931,0.03927,2.0584,3.85757,3.14381,0.00186239,0.00186239,0.00186239
5,1281.83,1.37739,2.27977,1.45244,0.23842,0.32692,0.13256,0.04712,2.07055,5.10586,3.07771,0.0018416,0.0018416,0.0018416
6,1526.52,1.37541,2.16096,1.43,0.58024,0.30769,0.43571,0.21671,1.65418,4.66246,2.19043,0.001802,0.001802,0.001802
7,1757.66,1.33761,2.0503,1.38196,0.47721,0.40385,0.41138,0.22192,1.31548,7.37721,1.87054,0.0017624,0.0017624,0.0017624
8,2011.74,1.28395,1.91705,1.36675,0.40275,0.38462,0.37986,0.2182,1.45238,3.01883,1.93543,0.0017228,0.0017228,0.0017228
9,2278.42,1.29646,1.95217,1.36433,0.40891,0.40385,0.34623,0.20122,1.5497,2.88674,1.87778,0.0016832,0.0016832,0.0016832
10,2560.12,1.29785,1.8148,1.37593,0.53766,0.57692,0.58016,0.31291,1.45415,2.33656,1.86479,0.0016436,0.0016436,0.0016436
11,2893.43,1.31174,1.84909,1.37209,0.46389,0.67308,0.55294,0.26025,1.54853,2.05973,1.93248,0.001604,0.001604,0.001604
12,3222.42,1.19369,1.6871,1.30234,0.45531,0.35376,0.36798,0.18987,1.62142,2.49084,1.90484,0.0015644,0.0015644,0.0015644
13,3559.5,1.19557,1.73571,1.27917,0.55683,0.65241,0.55304,0.34542,1.3294,2.0684,1.73205,0.0015248,0.0015248,0.0015248
14,3874.09,1.23041,1.72343,1.33606,0.4659,0.6375,0.54302,0.32403,1.35781,1.90041,1.691,0.0014852,0.0014852,0.0014852
15,4226.58,1.13675,1.58032,1.26025,0.60093,0.73077,0.66579,0.48785,1.00757,1.50455,1.35575,0.0014456,0.0014456,0.0014456
16,4533.9,1.11563,1.59404,1.26303,0.43859,0.46154,0.3999,0.22247,1.3448,2.32292,1.70595,0.001406,0.001406,0.001406
17,4864.89,1.09458,1.54045,1.22158,0.58365,0.65385,0.60354,0.3927,1.25445,1.65687,1.64472,0.0013664,0.0013664,0.0013664
