epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.392,1.00567,5.25105,1.20603,0,0,0,0,0.54728,5.35533,0.98748,2.832e-05,2.832e-05,2.832e-05
2,608.739,0.8554,4.93328,1.11322,0,0,0,0,0.53392,5.24989,0.95114,5.66752e-05,5.66752e-05,5.66752e-05
3,895.173,0.88635,4.60813,1.12431,0.92308,0.46154,0.70162,0.64241,0.56997,4.79895,0.97764,8.38621e-05,8.38621e-05,8.38621e-05
4,1181.33,0.84215,4.07954,1.10235,0.4381,0.88462,0.80026,0.65768,0.67531,3.87335,1.07013,0.000109881,0.000109881,0.000109881
5,1484.98,0.90767,3.58913,1.135,0.83232,0.65385,0.82275,0.65983,0.69173,3.29168,1.1215,0.000108654,0.000108654,0.000108654
6,1787.69,0.95598,3.11568,1.16313,0.79788,0.76923,0.8453,0.69464,0.68785,2.80142,1.14242,0.000106318,0.000106318,0.000106318
7,2092.31,0.91986,2.7319,1.13197,0.74708,0.85215,0.83233,0.68233,0.73851,2.71644,1.17603,0.000103982,0.000103982,0.000103982
8,2392.41,0.89026,2.48625,1.13192,0.81426,0.78846,0.82638,0.67946,0.7187,2.52328,1.17743,0.000101645,0.000101645,0.000101645
9,2730.25,0.87422,2.38331,1.12611,0.74216,0.78846,0.80261,0.654,0.71732,2.36481,1.176,9.93088e-05,9.93088e-05,9.93088e-05
10,3042.29,0.82877,2.12057,1.10342,0.78916,0.76923,0.79099,0.65045,0.68294,2.19689,1.13081,9.69724e-05,9.69724e-05,9.69724e-05
11,3349.43,0.85573,2.07078,1.12135,0.75778,0.7822,0.79346,0.65854,0.69811,2.08707,1.15397,9.4636e-05,9.4636e-05,9.4636e-05
12,3688.87,0.78072,1.8869,1.07612,0.77694,0.80769,0.79481,0.64915,0.68622,2.1399,1.11953,9.22996e-05,9.22996e-05,9.22996e-05
13,4006.73,0.77133,1.92876,1.05677,0.79579,0.82437,0.82065,0.67179,0.68207,2.09708,1.09897,8.99632e-05,8.99632e-05,8.99632e-05
14,4263.5,0.78137,1.84515,1.08539,0.86367,0.76923,0.86789,0.70183,0.64672,2.20243,1.06335,8.76268e-05,8.76268e-05,8.76268e-05
15,4580,0.72661,1.77525,1.03899,0.78002,0.81839,0.8471,0.70645,0.65376,2.017,1.09148,8.52904e-05,8.52904e-05,8.52904e-05
16,4880.82,0.736,1.75244,1.04283,0.7813,0.76923,0.78852,0.64904,0.66432,2.02402,1.07746,8.2954e-05,8.2954e-05,8.2954e-05
17,5142.6,0.7279,1.67419,1.02469,0.8799,0.70458,0.82287,0.656,0.72779,1.96949,1.15192,8.06176e-05,8.06176e-05,8.06176e-05
18,5453.88,0.70834,1.63891,1.04006,0.87379,0.73077,0.80173,0.65376,0.7187,1.90527,1.14863,7.82812e-05,7.82812e-05,7.82812e-05
19,5732.56,0.69225,1.64335,1.03427,0.9243,0.71154,0.84534,0.67243,0.74537,1.88521,1.17611,7.59448e-05,7.59448e-05,7.59448e-05
20,6023.02,0.70543,1.628,1.02062,0.83349,0.7701,0.84612,0.68453,0.7228,1.89732,1.16863,7.36084e-05,7.36084e-05,7.36084e-05
21,6288.34,0.74627,1.6148,1.04493,0.70967,0.89319,0.8399,0.68564,0.73748,1.89123,1.14233,7.1272e-05,7.1272e-05,7.1272e-05
22,6580.48,0.66854,1.54551,1.00445,0.84257,0.71154,0.84189,0.6859,0.70909,1.83988,1.11017,6.89356e-05,6.89356e-05,6.89356e-05
23,6910.19,0.70916,1.5538,1.03747,0.82982,0.76923,0.83348,0.69258,0.65017,1.79229,1.0854,6.65992e-05,6.65992e-05,6.65992e-05
24,7212.36,0.6824,1.46292,1.02185,0.84261,0.76923,0.81215,0.67978,0.66549,1.83099,1.08774,6.42628e-05,6.42628e-05,6.42628e-05
25,7480.18,0.67259,1.47402,1.0153,0.83332,0.78846,0.83603,0.68682,0.63365,1.76013,1.04767,6.19264e-05,6.19264e-05,6.19264e-05
